a123			a125			a127		
	903.7	8692		903.7	8917.5		904.7	7469
	903.8	8682		903.8	9133.75		904.8	7530
	903.9	8659		903.9	8993.75		904.9	7595
	904	8802		904	9077.5		905	7537
	904.1	8650		904.1	9151.25		905.1	7566
	904.2	8690		904.2	9022.5		905.2	7656
	904.3	8825		904.3	9085		905.3	7602
	904.4	8932		904.4	9232.5		905.4	7560
	904.5	8693		904.5	9175		905.5	7653
	904.6	8642		904.6	9132.5		905.6	7688
	904.7	8735		904.7	9160		905.7	7603
	904.8	8713		904.8	9328.75		905.8	7769
	904.9	8870		904.9	9286.25		905.9	7713
	905	8846		905	9328.75		906	7651
	905.1	8997		905.1	9432.5		906.1	7710
	905.2	9034		905.2	9385		906.2	7787
	905.3	9074		905.3	9432.5		906.3	7756
	905.4	9008		905.4	9347.5		906.4	7656
	905.5	9080		905.5	9441.25		906.5	7725
	905.6	9089		905.6	9532.5		906.6	7837
	905.7	9210		905.7	9547.5		906.7	7649
	905.8	9033		905.8	9476.25		906.8	7933
	905.9	9074		905.9	9607.5		906.9	7897
	906	9282		906	9596.25		907	7848
	906.1	9204		906.1	9631.25		907.1	7956
	906.2	9156		906.2	9747.5		907.2	7931
	906.3	9136		906.3	9645		907.3	7917
	906.4	9262		906.4	9735		907.4	7946
	906.5	9206		906.5	9871.25		907.5	7944
	906.6	9246		906.6	9720		907.6	7796
	906.7	9296		906.7	9941.25		907.7	7978
	906.8	9371		906.8	9811.25		907.8	7929
	906.9	9333		906.9	9701.25		907.9	8068
	907	9200		907	9977.5		908	7933
	907.1	9205		907.1	10016.25		908.1	7912
	907.2	9361		907.2	10091.25		908.2	8090
	907.3	9385		907.3	10027.5		908.3	7916
	907.4	9338		907.4	10041.25		908.4	7995
	907.5	9368		907.5	9960		908.5	7966
	907.6	9329		907.6	9963.75		908.6	7969
	907.7	9334		907.7	10121.25		908.7	8076
	907.8	9379		907.8	9865		908.8	8121
	907.9	9471		907.9	9893.75		908.9	8150
	908	9645		908	10020		909	8332
	908.1	9522		908.1	10155		909.1	8318
	908.2	9713		908.2	10167.5		909.2	8211
	908.3	9708		908.3	10187.5		909.3	8075
	908.4	9566		908.4	10323.75		909.4	8254
	908.5	9588		908.5	10241.25		909.5	8335
	908.6	9566		908.6	10426.25		909.6	8406
	908.7	9637		908.7	10207.5		909.7	8431
	908.8	9540		908.8	10402.5		909.8	8433
	908.9	9737		908.9	10461.25		909.9	8430
	909	9702		909	10393.75		910	8626
	909.1	9563		909.1	10473.75		910.1	8563
	909.2	9732		909.2	10450		910.2	8704
	909.3	9783		909.3	10555		910.3	8737
	909.4	9970		909.4	10491.25		910.4	8769
	909.5	9960		909.5	10610		910.5	8780
	909.6	9907		909.6	10686.25		910.6	8705
	909.7	9939		909.7	10642.5		910.7	8796
	909.8	10123		909.8	10538.75		910.8	8863
	909.9	10120		909.9	10905		910.9	8798
	910	10311		910	10918.75		911	8950
	910.1	10330		910.1	10961.25		911.1	8971
	910.2	10260		910.2	10985		911.2	8993
	910.3	10283		910.3	10940		911.3	9078
	910.4	10368		910.4	11007.5		911.4	9244
	910.5	10402		910.5	11068.75		911.5	9254
	910.6	10376		910.6	11097.5		911.6	9341
	910.7	10536		910.7	11193.75		911.7	9185
	910.8	10527		910.8	11460		911.8	9362
	910.9	10716		910.9	11528.75		911.9	9511
	911	10757		911	11580		912	9489
	911.1	11020		911.1	11713.75		912.1	9437
	911.2	10825		911.2	11643.75		912.2	9502
	911.3	10854		911.3	11573.75		912.3	9518
	911.4	10839		911.4	11885		912.4	9550
	911.5	10886		911.5	11807.5		912.5	9594
	911.6	11108		911.6	11835		912.6	9586
	911.7	11123		911.7	11817.5		912.7	9599
	911.8	11211		911.8	11960		912.8	9743
	911.9	11220		911.9	12085		912.9	9673
	912	11517		912	12098.75		913	9658
	912.1	11437		912.1	12103.75		913.1	9760
	912.2	11382		912.2	12237.5		913.2	9825
	912.3	11463		912.3	12253.75		913.3	9867
	912.4	11413		912.4	12408.75		913.4	9866
	912.5	11476		912.5	12466.25		913.5	9971
	912.6	11656		912.6	12357.5		913.6	9868
	912.7	11714		912.7	12495		913.7	10042
	912.8	11453		912.8	12586.25		913.8	9926
	912.9	11558		912.9	12687.5		913.9	9914
	913	11727		913	12620		914	10001
	913.1	11673		913.1	12705		914.1	10184
	913.2	11822		913.2	12702.5		914.2	10183
	913.3	11721		913.3	12822.5		914.3	10201
	913.4	11812		913.4	12682.5		914.4	10192
	913.5	11880		913.5	12756.25		914.5	10105
	913.6	11813		913.6	12667.5		914.6	10100
	913.7	11807		913.7	12725		914.7	10300
	913.8	11805		913.8	12880		914.8	10300
	913.9	11720		913.9	12942.5		914.9	10282
	914	11786		914	12982.5		915	10324
	914.1	11950		914.1	12941.25		915.1	10305
	914.2	12078		914.2	12856.25		915.2	10397
	914.3	12065		914.3	12938.75		915.3	10496
	914.4	12229		914.4	13133.75		915.4	10440
	914.5	12561		914.5	13160		915.5	10620
	914.6	12435		914.6	13410		915.6	10581
	914.7	12596		914.7	13373.75		915.7	10804
	914.8	12596		914.8	13522.5		915.8	11001
	914.9	12777		914.9	13561.25		915.9	10978
	915	13206		915	13958.75		916	11105
	915.1	13407		915.1	14103.75		916.1	11320
	915.2	13543		915.2	14390		916.2	11385
	915.3	13773		915.3	14606.25		916.3	11635
	915.4	14116		915.4	14912.5		916.4	11862
	915.5	14640		915.5	15683.75		916.5	12056
	915.6	14882		915.6	15930		916.6	12293
	915.7	15351		915.7	16303.75		916.7	12640
	915.8	15815		915.8	17128.75		916.8	12560
	915.9	16360		915.9	17266.25		916.9	13120
	916	16622		916	17861.25		917	13385
	916.1	17136		916.1	18466.25		917.1	13281
	916.2	17624		916.2	19366.25		917.2	13573
	916.3	18111		916.3	19740		917.3	13633
	916.4	18443		916.4	20050		917.4	13906
	916.5	18855		916.5	20103.75		917.5	14095
	916.6	18824		916.6	20763.75		917.6	14081
	916.7	18919		916.7	20888.75		917.7	13950
	916.8	18835		916.8	20961.25		917.8	13988
	916.9	18418		916.9	20651.25		917.9	14038
	917	18649		917	20410		918	14040
	917.1	18074		917.1	20266.25		918.1	13666
	917.2	17483		917.2	20021.25		918.2	13631
	917.3	17066		917.3	19358.75		918.3	13543
	917.4	16358		917.4	18711.25		918.4	13254
	917.5	16058		917.5	18416.25		918.5	12914
	917.6	15457		917.6	17675		918.6	12609
	917.7	15201		917.7	17181.25		918.7	12363
	917.8	14866		917.8	16713.75		918.8	12197
	917.9	14425		917.9	15993.75		918.9	11874
	918	13994		918	15616.25		919	11652
	918.1	13630		918.1	15011.25		919.1	11311
	918.2	13147		918.2	14586.25		919.2	11069
	918.3	13009		918.3	14093.75		919.3	10928
	918.4	12427		918.4	13933.75		919.4	10552
	918.5	12194		918.5	13531.25		919.5	10286
	918.6	12055		918.6	13243.75		919.6	9973
	918.7	11864		918.7	12897.5		919.7	9814
	918.8	11522		918.8	12671.25		919.8	9525
	918.9	11395		918.9	12565		919.9	9443
	919	11316		919	12156.25		920	9271
	919.1	11157		919.1	11708.75		920.1	8969
	919.2	10833		919.2	11676.25		920.2	8818
	919.3	10384		919.3	11413.75		920.3	8714
	919.4	10280		919.4	11125		920.4	8575
	919.5	10063		919.5	10821.25		920.5	8294
	919.6	9833		919.6	10720		920.6	8265
	919.7	9528		919.7	10443.75		920.7	8274
	919.8	9366		919.8	10121.25		920.8	8096
	919.9	9215		919.9	10197.5		920.9	8029
	920	9169		920	9672.5		921	7749
	920.1	8982		920.1	9511.25		921.1	7819
	920.2	8709		920.2	9542.5		921.2	7681
	920.3	8543		920.3	9160		921.3	7646
	920.4	8403		920.4	8975		921.4	7491
	920.5	8197		920.5	8900		921.5	7484
	920.6	8002		920.6	8543.75		921.6	7422
	920.7	8140		920.7	8651.25		921.7	7333
	920.8	7886		920.8	8631.25		921.8	7129
	920.9	7814		920.9	8461.25		921.9	7118
	921	7583		921	8457.5		922	6942
	921.1	7553		921.1	8460		922.1	6802
	921.2	7513		921.2	8371.25		922.2	6798
	921.3	7540		921.3	8156.25		922.3	6808
	921.4	7441		921.4	8113.75		922.4	6663
	921.5	7438		921.5	8232.5		922.5	6604
	921.6	7397		921.6	7908.75		922.6	6478
	921.7	7170		921.7	7905		922.7	6576
	921.8	7116		921.8	7818.75		922.8	6567
	921.9	7061		921.9	7870		922.9	6392
	922	7073		922	7801.25		923	6392
	922.1	7063		922.1	7615		923.1	6458
	922.2	6943		922.2	7495		923.2	6315
	922.3	6837		922.3	7340		923.3	6263
	922.4	6753		922.4	7245		923.4	6282
	922.5	6602		922.5	7108.75		923.5	6181
	922.6	6661		922.6	7123.75		923.6	6079
	922.7	6513		922.7	6986.25		923.7	5972
	922.8	6446		922.8	6951.25		923.8	6068
